Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Hungary,0,0,0,0,0,351.7,326.9767669,296.1609551,315.2090054,336.0493113,363.1740297,364.2564769,443.5565526,466.9935159,632.5551081,731.503155,858.6563445,975.984331,1312.202577,1575.172936,1849.914264,2305.025006,3147.775617,4159.619081,4202.893825,3953.857949,4171.221937,4123.722118,4404.806612,4964.320442,3819.835626,3486.769081,2403.686768,1.301745871
Iceland,45.7689321,50.83643143,52.69925945,46.88455743,41.43115452,36.3,33.29043177,40.95712406,28.93939472,31.1160198,35.74518045,39.34622356,64.78212572,48.98014554,61.00785181,65.77299279,80.28882038,110.0136852,120.129226,94.04851352,135.5584712,150.9204658,154.5337914,207.3408179,217.7282987,216.9415585,209.0820927,188.4179478,173.8754341,184.0843102,165.4810947,190.2552501,164.4316406,0.593573174
India,2383.740066,3289.109445,2897.425637,3522.788021,5856.694458,6222.996282,8765.693607,10330.96504,9479.30035,11124.28084,12883.46596,14273.01878,15735.73629,20999.15098,18750.37711,22125.08948,28333.64228,37216.75528,49977.27692,49204,53479.96008,62499.07544,68820.51784,69970.36085,70388.6428,68909.69335,62744.36409,68967.1755,78790.17093,83332.078,83149.17293,89375.15222,100000,2.883035814
Indonesia,166,130,229,346,449,651,796,725,958.17,1109,1190.2,1046,1258.917563,1488.709351,1866.31499,5419.620729,5722.357517,6174.34,6794.200933,6792.90728,6916,6923.970511,7212.196578,7614.41934,8551.164469,9659.168639,8906.655811,8989.529971,11215.34481,11666.39506,9650.926142,9402.427089,9700,0.752270966
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.1,388.9,3.1,70.9,152,176.7,223,271,727,729.4,1004.5,986.4,1088.5,741.7,859.2,644.4,600,624,0.220591355
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.3382504,539.3480537,589.4150669,633.3777469,573.2356938,658.0099289,756.001123,694.9963385,722.4346185,725.8,603.6135048,575.4848137,596.6770785,623.629069,586.6861335,276.0510177,179.8546196,248.9138947,0.047888686
Israel,812,877,1161,1264,1605,2102.3,2077,2170.3,2310.1,2738.2,2951.2,3392.1,3395.6,3131.9,3354.7,3736,3680,4402,4536,4619,4740,5074,4680,5688,6185,5890,6363,6194,5915,6188,6378,7701,6143.346191,1.165324528
Italy,5025.494576,3615.398335,2923.262101,2611.339772,2361.899804,2280.956929,2526.492823,2207.094305,2053.806689,1878.5,1789.501817,1932.443183,2272.672068,3023.192838,3688.753006,4091.531781,4075.828471,4595.241395,7354.812945,7041.290727,7975.133246,8731.247318,9166.139341,9436.137008,10099.25725,9607.744315,9512.833704,9742.186172,9899.652023,10458.51588,9760.15102,10258.42341,9000,0.450690909
Jamaica,228.7,181.3,215.6,239.2,507.1,639.1,690.3,715.1,741.5,775,877.7,1046.6,1241.6,1379.6,1601.198135,1761.628767,1923.735274,2122.091021,2156.5895,1889.494349,2026.445825,2105.6,2168.136683,2171.887541,2268.785014,2361.233874,2433.422796,2462.677565,2501.614919,2562.542095,3066.8735,3706.698183,3419,21.23075012
Japan,0,0,0,0,0,0,500.2,614.8820563,553.7586147,566.4738947,773.4067104,1249.546432,1126.867033,811.1411206,773.5747111,904.9812407,1176.98848,1383.930644,1732.378923,1594.532178,1684.468955,2131.729225,2539.577665,2363.853398,3733.912542,3325.097903,3830.448522,4443.028775,4369.453719,4388.723266,4887.784631,5290.974223,5000,0.116262279
